"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","279","Get course","LMS service","Fri Nov 07 15:01:14 UTC 2025","passed","Fri Nov 07 15:01:14 UTC 2025","Get entities","Courses","",""
"","252","Create file with incorrect file id","LMS service","Fri Nov 07 15:01:21 UTC 2025","passed","Fri Nov 07 15:01:21 UTC 2025","Validate entity","Files","",""
"","528","Create user","LMS service","Fri Nov 07 15:01:21 UTC 2025","passed","Fri Nov 07 15:01:22 UTC 2025","Create entity","Users","",""
"","243","Create file with empty filename","LMS service","Fri Nov 07 15:01:20 UTC 2025","passed","Fri Nov 07 15:01:20 UTC 2025","Validate entity","Files","",""
"","22","Delete file","LMS service","Fri Nov 07 15:01:19 UTC 2025","passed","Fri Nov 07 15:01:19 UTC 2025","Delete entity","Files","",""
"","10","Get user me","LMS service","Fri Nov 07 15:01:22 UTC 2025","passed","Fri Nov 07 15:01:22 UTC 2025","Get entity","Users","",""
"","16","Get exercise","LMS service","Fri Nov 07 15:01:18 UTC 2025","passed","Fri Nov 07 15:01:18 UTC 2025","Get entities","Exercises","",""
"","271","Delete exercise","LMS service","Fri Nov 07 15:01:17 UTC 2025","passed","Fri Nov 07 15:01:17 UTC 2025","Delete entity","Exercises","",""
"","28","Create course","LMS service","Fri Nov 07 15:01:15 UTC 2025","passed","Fri Nov 07 15:01:15 UTC 2025","Create entity","Courses","",""
"","250","Create file","LMS service","Fri Nov 07 15:01:18 UTC 2025","passed","Fri Nov 07 15:01:18 UTC 2025","Create entity","Files","",""
"","277","Create user","LMS service","Fri Nov 07 15:01:21 UTC 2025","passed","Fri Nov 07 15:01:21 UTC 2025","Create entity","Users","",""
"","272","Login","LMS service","Fri Nov 07 15:01:13 UTC 2025","passed","Fri Nov 07 15:01:13 UTC 2025","Login","Authentication","",""
"","24","Update course","LMS service","Fri Nov 07 15:01:14 UTC 2025","passed","Fri Nov 07 15:01:14 UTC 2025","Update entity","Courses","",""
"","12","Get file","LMS service","Fri Nov 07 15:01:19 UTC 2025","passed","Fri Nov 07 15:01:19 UTC 2025","Get entity","Files","",""
"","23","Create exercise","LMS service","Fri Nov 07 15:01:15 UTC 2025","passed","Fri Nov 07 15:01:15 UTC 2025","Create entity","Exercises","",""
"","513","Create user","LMS service","Fri Nov 07 15:01:20 UTC 2025","passed","Fri Nov 07 15:01:21 UTC 2025","Create entity","Users","",""
"","239","Create file with empty directory","LMS service","Fri Nov 07 15:01:20 UTC 2025","passed","Fri Nov 07 15:01:20 UTC 2025","Validate entity","Files","",""
"","273","Update exercise","LMS service","Fri Nov 07 15:01:16 UTC 2025","passed","Fri Nov 07 15:01:16 UTC 2025","Update entity","Exercises","",""
"","15","Get exercise","LMS service","Fri Nov 07 15:01:16 UTC 2025","passed","Fri Nov 07 15:01:16 UTC 2025","Get entity","Exercises","",""
