"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Update exercise","LMS service","Sun Nov 23 13:11:53 UTC 2025","passed","Sun Nov 23 13:11:53 UTC 2025","Update entity","Exercises","",""
"","521","Create user","LMS service","Sun Nov 23 13:11:58 UTC 2025","passed","Sun Nov 23 13:11:58 UTC 2025","Create entity","Users","",""
"","22","Get exercise","LMS service","Sun Nov 23 13:11:54 UTC 2025","passed","Sun Nov 23 13:11:54 UTC 2025","Get entity","Exercises","",""
"","554","Create user","LMS service","Sun Nov 23 13:11:59 UTC 2025","passed","Sun Nov 23 13:11:59 UTC 2025","Create entity","Users","",""
"","295","Update course","LMS service","Sun Nov 23 13:11:51 UTC 2025","passed","Sun Nov 23 13:11:51 UTC 2025","Update entity","Courses","",""
"","266","Create file with incorrect file id","LMS service","Sun Nov 23 13:11:58 UTC 2025","passed","Sun Nov 23 13:11:58 UTC 2025","Validate entity","Files","",""
"","30","Create course","LMS service","Sun Nov 23 13:11:51 UTC 2025","passed","Sun Nov 23 13:11:51 UTC 2025","Create entity","Courses","",""
"","20","Get file","LMS service","Sun Nov 23 13:11:56 UTC 2025","passed","Sun Nov 23 13:11:56 UTC 2025","Get entity","Files","",""
"","519","Create user","LMS service","Sun Nov 23 13:11:57 UTC 2025","passed","Sun Nov 23 13:11:58 UTC 2025","Create entity","Users","",""
"","23","Delete file","LMS service","Sun Nov 23 13:11:56 UTC 2025","passed","Sun Nov 23 13:11:56 UTC 2025","Delete entity","Files","",""
"","20","Get exercise","LMS service","Sun Nov 23 13:11:55 UTC 2025","passed","Sun Nov 23 13:11:55 UTC 2025","Get entities","Exercises","",""
"","11","Get user me","LMS service","Sun Nov 23 13:11:59 UTC 2025","passed","Sun Nov 23 13:11:59 UTC 2025","Get entity","Users","",""
"","284","Login","LMS service","Sun Nov 23 13:11:50 UTC 2025","passed","Sun Nov 23 13:11:50 UTC 2025","Login","Authentication","",""
"","23","Create exercise","LMS service","Sun Nov 23 13:11:53 UTC 2025","passed","Sun Nov 23 13:11:53 UTC 2025","Create entity","Exercises","",""
"","19","Create file","LMS service","Sun Nov 23 13:11:55 UTC 2025","passed","Sun Nov 23 13:11:55 UTC 2025","Create entity","Files","",""
"","258","Create file with empty filename","LMS service","Sun Nov 23 13:11:57 UTC 2025","passed","Sun Nov 23 13:11:57 UTC 2025","Validate entity","Files","",""
"","34","Create file with empty directory","LMS service","Sun Nov 23 13:11:57 UTC 2025","passed","Sun Nov 23 13:11:57 UTC 2025","Validate entity","Files","",""
"","17","Delete exercise","LMS service","Sun Nov 23 13:11:54 UTC 2025","passed","Sun Nov 23 13:11:54 UTC 2025","Delete entity","Exercises","",""
"","25","Get course","LMS service","Sun Nov 23 13:11:51 UTC 2025","passed","Sun Nov 23 13:11:51 UTC 2025","Get entities","Courses","",""
