"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Get exercise","LMS service","Fri Nov 07 14:40:10 UTC 2025","passed","Fri Nov 07 14:40:10 UTC 2025","Get entities","Exercises","",""
"","18","Update exercise","LMS service","Fri Nov 07 14:40:07 UTC 2025","passed","Fri Nov 07 14:40:08 UTC 2025","Update entity","Exercises","",""
"","11","Get file","LMS service","Fri Nov 07 14:40:11 UTC 2025","passed","Fri Nov 07 14:40:11 UTC 2025","Get entity","Files","",""
"","11","Get user me","LMS service","Fri Nov 07 14:40:14 UTC 2025","passed","Fri Nov 07 14:40:14 UTC 2025","Get entity","Users","",""
"","17","Create file with empty directory","LMS service","Fri Nov 07 14:40:12 UTC 2025","passed","Fri Nov 07 14:40:12 UTC 2025","Validate entity","Files","",""
"","23","Create exercise","LMS service","Fri Nov 07 14:40:07 UTC 2025","passed","Fri Nov 07 14:40:07 UTC 2025","Create entity","Exercises","",""
"","284","Login","LMS service","Fri Nov 07 14:40:04 UTC 2025","passed","Fri Nov 07 14:40:05 UTC 2025","Login","Authentication","",""
"","262","Create file with empty filename","LMS service","Fri Nov 07 14:40:12 UTC 2025","passed","Fri Nov 07 14:40:12 UTC 2025","Validate entity","Files","",""
"","16","Delete exercise","LMS service","Fri Nov 07 14:40:09 UTC 2025","passed","Fri Nov 07 14:40:09 UTC 2025","Delete entity","Exercises","",""
"","298","Update course","LMS service","Fri Nov 07 14:40:06 UTC 2025","passed","Fri Nov 07 14:40:06 UTC 2025","Update entity","Courses","",""
"","268","Create file with incorrect file id","LMS service","Fri Nov 07 14:40:13 UTC 2025","passed","Fri Nov 07 14:40:13 UTC 2025","Validate entity","Files","",""
"","537","Create user","LMS service","Fri Nov 07 14:40:12 UTC 2025","passed","Fri Nov 07 14:40:13 UTC 2025","Create entity","Users","",""
"","20","Delete file","LMS service","Fri Nov 07 14:40:11 UTC 2025","passed","Fri Nov 07 14:40:11 UTC 2025","Delete entity","Files","",""
"","535","Create user","LMS service","Fri Nov 07 14:40:13 UTC 2025","passed","Fri Nov 07 14:40:13 UTC 2025","Create entity","Users","",""
"","28","Create course","LMS service","Fri Nov 07 14:40:06 UTC 2025","passed","Fri Nov 07 14:40:06 UTC 2025","Create entity","Courses","",""
"","17","Get exercise","LMS service","Fri Nov 07 14:40:09 UTC 2025","passed","Fri Nov 07 14:40:09 UTC 2025","Get entity","Exercises","",""
"","21","Create file","LMS service","Fri Nov 07 14:40:10 UTC 2025","passed","Fri Nov 07 14:40:10 UTC 2025","Create entity","Files","",""
"","297","Get course","LMS service","Fri Nov 07 14:40:05 UTC 2025","passed","Fri Nov 07 14:40:06 UTC 2025","Get entities","Courses","",""
"","548","Create user","LMS service","Fri Nov 07 14:40:13 UTC 2025","passed","Fri Nov 07 14:40:14 UTC 2025","Create entity","Users","",""
