"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get file","LMS service","Sun Nov 23 13:30:39 UTC 2025","passed","Sun Nov 23 13:30:39 UTC 2025","Get entity","Files","",""
"","19","Delete file","LMS service","Sun Nov 23 13:30:39 UTC 2025","passed","Sun Nov 23 13:30:39 UTC 2025","Delete entity","Files","",""
"","555","Create user","LMS service","Sun Nov 23 13:30:41 UTC 2025","passed","Sun Nov 23 13:30:42 UTC 2025","Create entity","Users","",""
"","295","Create course","LMS service","Sun Nov 23 13:30:34 UTC 2025","passed","Sun Nov 23 13:30:35 UTC 2025","Create entity","Courses","",""
"","267","Create file","LMS service","Sun Nov 23 13:30:38 UTC 2025","passed","Sun Nov 23 13:30:38 UTC 2025","Create entity","Files","",""
"","261","Create file with empty directory","LMS service","Sun Nov 23 13:30:40 UTC 2025","passed","Sun Nov 23 13:30:41 UTC 2025","Validate entity","Files","",""
"","287","Create user","LMS service","Sun Nov 23 13:30:41 UTC 2025","passed","Sun Nov 23 13:30:41 UTC 2025","Create entity","Users","",""
"","541","Create user","LMS service","Sun Nov 23 13:30:41 UTC 2025","passed","Sun Nov 23 13:30:41 UTC 2025","Create entity","Users","",""
"","284","Delete exercise","LMS service","Sun Nov 23 13:30:37 UTC 2025","passed","Sun Nov 23 13:30:37 UTC 2025","Delete entity","Exercises","",""
"","266","Create file with incorrect file id","LMS service","Sun Nov 23 13:30:41 UTC 2025","passed","Sun Nov 23 13:30:41 UTC 2025","Validate entity","Files","",""
"","28","Get course","LMS service","Sun Nov 23 13:30:33 UTC 2025","passed","Sun Nov 23 13:30:34 UTC 2025","Get entities","Courses","",""
"","14","Get exercise","LMS service","Sun Nov 23 13:30:36 UTC 2025","passed","Sun Nov 23 13:30:36 UTC 2025","Get entity","Exercises","",""
"","18","Get exercise","LMS service","Sun Nov 23 13:30:38 UTC 2025","passed","Sun Nov 23 13:30:38 UTC 2025","Get entities","Exercises","",""
"","295","Update course","LMS service","Sun Nov 23 13:30:34 UTC 2025","passed","Sun Nov 23 13:30:34 UTC 2025","Update entity","Courses","",""
"","286","Update exercise","LMS service","Sun Nov 23 13:30:36 UTC 2025","passed","Sun Nov 23 13:30:36 UTC 2025","Update entity","Exercises","",""
"","20","Create exercise","LMS service","Sun Nov 23 13:30:35 UTC 2025","passed","Sun Nov 23 13:30:35 UTC 2025","Create entity","Exercises","",""
"","279","Create file with empty filename","LMS service","Sun Nov 23 13:30:40 UTC 2025","passed","Sun Nov 23 13:30:40 UTC 2025","Validate entity","Files","",""
"","284","Login","LMS service","Sun Nov 23 13:30:33 UTC 2025","passed","Sun Nov 23 13:30:33 UTC 2025","Login","Authentication","",""
"","12","Get user me","LMS service","Sun Nov 23 13:30:42 UTC 2025","passed","Sun Nov 23 13:30:42 UTC 2025","Get entity","Users","",""
