"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get exercise","LMS service","Fri Nov 07 11:22:17 UTC 2025","passed","Fri Nov 07 11:22:17 UTC 2025","Get entity","Exercises","",""
"","21","Create exercise","LMS service","Fri Nov 07 11:22:15 UTC 2025","passed","Fri Nov 07 11:22:15 UTC 2025","Create entity","Exercises","",""
"","286","Delete exercise","LMS service","Fri Nov 07 11:22:17 UTC 2025","passed","Fri Nov 07 11:22:17 UTC 2025","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Fri Nov 07 11:22:22 UTC 2025","passed","Fri Nov 07 11:22:22 UTC 2025","Get entity","Users","",""
"","298","Update course","LMS service","Fri Nov 07 11:22:14 UTC 2025","passed","Fri Nov 07 11:22:14 UTC 2025","Update entity","Courses","",""
"","12","Get file","LMS service","Fri Nov 07 11:22:19 UTC 2025","passed","Fri Nov 07 11:22:19 UTC 2025","Get entity","Files","",""
"","558","Create user","LMS service","Fri Nov 07 11:22:21 UTC 2025","passed","Fri Nov 07 11:22:22 UTC 2025","Create entity","Users","",""
"","258","Create file with empty directory","LMS service","Fri Nov 07 11:22:20 UTC 2025","passed","Fri Nov 07 11:22:21 UTC 2025","Validate entity","Files","",""
"","288","Update exercise","LMS service","Fri Nov 07 11:22:16 UTC 2025","passed","Fri Nov 07 11:22:16 UTC 2025","Update entity","Exercises","",""
"","263","Create file with empty filename","LMS service","Fri Nov 07 11:22:20 UTC 2025","passed","Fri Nov 07 11:22:20 UTC 2025","Validate entity","Files","",""
"","284","Login","LMS service","Fri Nov 07 11:22:13 UTC 2025","passed","Fri Nov 07 11:22:13 UTC 2025","Login","Authentication","",""
"","264","Create file with incorrect file id","LMS service","Fri Nov 07 11:22:21 UTC 2025","passed","Fri Nov 07 11:22:21 UTC 2025","Validate entity","Files","",""
"","293","Get course","LMS service","Fri Nov 07 11:22:14 UTC 2025","passed","Fri Nov 07 11:22:14 UTC 2025","Get entities","Courses","",""
"","21","Delete file","LMS service","Fri Nov 07 11:22:19 UTC 2025","passed","Fri Nov 07 11:22:19 UTC 2025","Delete entity","Files","",""
"","287","Create user","LMS service","Fri Nov 07 11:22:21 UTC 2025","passed","Fri Nov 07 11:22:22 UTC 2025","Create entity","Users","",""
"","29","Create course","LMS service","Fri Nov 07 11:22:15 UTC 2025","passed","Fri Nov 07 11:22:15 UTC 2025","Create entity","Courses","",""
"","540","Create user","LMS service","Fri Nov 07 11:22:21 UTC 2025","passed","Fri Nov 07 11:22:21 UTC 2025","Create entity","Users","",""
"","18","Get exercise","LMS service","Fri Nov 07 11:22:18 UTC 2025","passed","Fri Nov 07 11:22:18 UTC 2025","Get entities","Exercises","",""
"","265","Create file","LMS service","Fri Nov 07 11:22:18 UTC 2025","passed","Fri Nov 07 11:22:18 UTC 2025","Create entity","Files","",""
